Match File,Evasion File,Field,Match Value,Evasion Value,TrivialChange
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,related,"{'user': 'SYSTEM', 'hash': ['0d17999868f2768b1b050cb051884110', 'e72f5dba2a177397403965a3352f0cc45ec46a568a53d5ef4535fbba18e73023']}","{'hash': ['1234a12b71dae034e45c714ae5a54412', '079e6bc834f38322ed5ed76295ec3961ed894084ef5cb171dffbd9b3822cc78d'], 'user': 'SYSTEM'}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,related,"{'user': 'SYSTEM', 'hash': ['0d17999868f2768b1b050cb051884110', 'e72f5dba2a177397403965a3352f0cc45ec46a568a53d5ef4535fbba18e73023']}","{'user': 'SYSTEM', 'hash': ['5f1b6a9c35d3d5ca72d6d6fdef9747d6', 'd7bc4ed605b32274b45328fd9914fb0e7b90d869a38f0e6f94fb1bf4e9e2b407']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,related,"{'user': 'breach', 'hash': ['784a50a6a09c25f011c3143ddd68e729', '661f5d4ce4f0a6cb32669a43ce5deec6d5a9e19b2387f22c5012405e92169943']}","{'user': 'SYSTEM', 'hash': ['a25c33fb549d90018dbeec40bb07d543', '472168cf54a123ba0fc585b4b5fedbb60562b81b3ada7616ce9ca77ddb5c4914']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,related,"{'user': 'breach', 'hash': ['784a50a6a09c25f011c3143ddd68e729', '661f5d4ce4f0a6cb32669a43ce5deec6d5a9e19b2387f22c5012405e92169943']}","{'user': 'SYSTEM', 'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,related,"{'user': 'breach', 'hash': ['784a50a6a09c25f011c3143ddd68e729', '661f5d4ce4f0a6cb32669a43ce5deec6d5a9e19b2387f22c5012405e92169943']}","{'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6'], 'user': 'SYSTEM'}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,related,"{'user': 'SYSTEM', 'hash': ['209a3b1901b83aeb8527ed211cce9e4c', '1a431f6409f8e0531f600f8f988ecececb902da26bbaaf1de74a5cac29a7cb44']}","{'user': 'setup', 'hash': ['edc79826e21859e93a875dfc087606c5', 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,related,"{'user': 'SYSTEM', 'hash': ['209a3b1901b83aeb8527ed211cce9e4c', '1a431f6409f8e0531f600f8f988ecececb902da26bbaaf1de74a5cac29a7cb44']}","{'user': 'setup', 'hash': ['0ee3bd34729c40bd0853825753acb319', 'c209e56688588601d947c061446e194ac1a79b9dd0ad38510d0fb9ca200481dd']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,related,"{'user': 'SYSTEM', 'hash': ['209a3b1901b83aeb8527ed211cce9e4c', '1a431f6409f8e0531f600f8f988ecececb902da26bbaaf1de74a5cac29a7cb44']}","{'user': 'SYSTEM', 'hash': ['73dcb33604ab86bcd4caa90346d73b49', 'db47a54ac39c5831f4fa8b678b5738b6bd304f6002d9fc0256f055abe7a9d969']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,related,"{'user': 'client2', 'hash': ['cc3ac75ddbfaa6d4ccbb0afad7eb759d', '3d98a354f1329bfeb17216d2391d6e9c04f6873b6e491bce9734c02c26574b3d']}","{'user': 'client1', 'hash': ['923fe895b22b22a9ca03c72f3d15ce20', '98b7f5b40c557775cd645ca69b788fe4a3deae25cdb6e5dd4fb94db1bdc10969']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,related,"{'user': 'client2', 'hash': ['cc3ac75ddbfaa6d4ccbb0afad7eb759d', '3d98a354f1329bfeb17216d2391d6e9c04f6873b6e491bce9734c02c26574b3d']}","{'user': 'SYSTEM', 'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6']}",False
